Full distribution from 5000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 1250000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
3,302,37204700
5,452,41387695
10,578,44255356
4,495,41682394
2,424,43642064
4,436,41149628
6,584,48011736
3,463,38753025
5,423,39978338
2,457,45979442
7,395,36822840
0,414,38402367
6,393,39038076
12,534,42286200
3,388,33517427
5,503,41311482
4,540,41039094
1,410,39128171
3,417,38356952
2,409,44603844
6,527,41133999
3,495,44283434
9,472,43775619
5,621,48945433
6,413,39253682
5,458,36167238
4,480,43872152
5,500,44361034
4,445,44804367
7,497,46857709
4,333,35186648
5,443,37034048
5,479,38078970
4,454,39650190
1,458,43335358
5,485,41856948
7,485,41449092
4,451,41854720
5,482,42753144
5,471,39015673
2,410,40599622
6,472,38456551
3,362,40136723
5,582,43511596
4,366,41243167
7,481,43766719
3,358,34075118
3,336,40397744
3,462,40750794
3,380,42425345
11,453,35943513
7,440,37778400
5,425,38483725
0,501,41812297
2,413,35914500
6,413,39079223
3,435,38430525
7,510,43066156
7,455,35606698
